category,商品名称,平均评分,评价次数,images,ssid,型号,上市时间_年,零售价_元,重量_kg,品牌,颜色,镜头焦距_mm,外形尺寸_cm,对焦马达,光圈叶片_片,防尘防雨,最近对焦距离_cm,最大放大倍率_倍,镜头类型,镜头卡口,画幅,最大光圈_F,最小光圈_F
镜头,富士 GF100-200mmF5.6 R LM OIS WR 变焦镜头,4.8,30,"[{'thumb': 'https://m.media-amazon.com/images/I/41ZUtcrxfgL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41ZUtcrxfgL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/51reeFjTAlL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41KdZ9np1UL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41KdZ9np1UL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/51OZzGOZGSL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41LDUbIM4BL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41LDUbIM4BL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/51oO3K4aqxL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41xM4yZ6oIL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41xM4yZ6oIL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/51Oz7UAs8WL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41a5rzZYuzL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41a5rzZYuzL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/51MpASFRmrL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41Yc7K6x56L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Yc7K6x56L._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/51gXzF69IKL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31PtDf5KbBL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31PtDf5KbBL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/51yHqW1PK0L._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51ZVX1NZCjL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ZVX1NZCjL._AC_.jpg', 'variant': 'PT07', 'hi_res': 'https://m.media-amazon.com/images/I/61zHcV-lb6L._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51hgO1PUjUL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51hgO1PUjUL._AC_.jpg', 'variant': 'PT08', 'hi_res': 'https://m.media-amazon.com/images/I/61oLnTyCDzL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/518JlP3615L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/518JlP3615L._AC_.jpg', 'variant': 'PT09', 'hi_res': 'https://m.media-amazon.com/images/I/61ch9kd4heL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51BPxdlU++L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51BPxdlU++L._AC_.jpg', 'variant': 'PT10', 'hi_res': 'https://m.media-amazon.com/images/I/61RiJ6RIT6L._AC_SL1000_.jpg'}]",B07MWBDQN3,Fujinon GF100-200mmF5.6 R LM OIS WR,2019,12999,1.9,富士,黑色,100-200,18.3x8.3x8.3,线性马达（LM）,9,True,60,0.2,变焦镜头,富士G卡口,中画幅,5.6,32.0
镜头,富士 GF 50mm F3.5 R LM WR 定焦镜头,4.8,29,"[{'thumb': 'https://m.media-amazon.com/images/I/41+QnASgNRL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41+QnASgNRL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61RqLERVC8L._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/5146dttcmSS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/5146dttcmSS._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71haww23h8S._AC_SL1350_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41Xn8ytEkAL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Xn8ytEkAL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/613KL6vxCOL._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41Z6IsfryHL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Z6IsfryHL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/61QTDfGkoTL._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51qNVUamCSL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51qNVUamCSL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71I2yKxUpwL._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51zlzgxeWHL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51zlzgxeWHL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/71vC2iDmEeL._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/514EUHgvWcL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/514EUHgvWcL._AC_.jpg', 'variant': 'PT07', 'hi_res': 'https://m.media-amazon.com/images/I/71DJ-2GFVFL._AC_SL1200_.jpg'}]",B07TWYNDQ2,Fujinon GF50mmF3.5 R LM WR,2019,7999,0.34,富士,黑色,50,8.4x8.4x4.8,线性马达（LM）,9,True,55,0.1,定焦镜头,富士G卡口,中画幅,3.5,32.0
镜头,富士 GF 120mm F4 R LM OIS WR Macro 微距镜头,4.4,15,"[{'thumb': 'https://m.media-amazon.com/images/I/41o3ifTKlNL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41o3ifTKlNL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/817W-BsiPrL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41ASKgJVmGL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41ASKgJVmGL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/81Qi4fABD6L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31STQnyzpjL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31STQnyzpjL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/71PQI8FnloL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31wo2X7JvCL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31wo2X7JvCL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71wqrS3ESTL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31wxIj9YZIL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31wxIj9YZIL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71-1esW-CAL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/21Q1eMRR2FL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/21Q1eMRR2FL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/61GDsALRszL._AC_SL1500_.jpg'}]",B01MZARLEQ,Fujinon GF120mmF4 R LM OIS WR Macro,2017,12999,1.5,富士,黑色,120,15.2x8.4x8.4,线性马达（LM）,9,True,45,0.5,定焦镜头,富士G卡口,中画幅,4.0,32.0
镜头,富士 GF 63mm F2.8 R WR 定焦镜头,4.5,25,"[{'thumb': 'https://m.media-amazon.com/images/I/51jed7leu7L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51jed7leu7L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71PQyR2NhQL._AC_SL1453_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51IQHusW34L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51IQHusW34L._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/7151MW0RqpL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41F06PW+xQL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41F06PW+xQL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/91OJVRyVJuL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41+4q9yFqfL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41+4q9yFqfL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/81neBTPYQUL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41ilPxy+elL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41ilPxy+elL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/81hdd9GvSsL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31Vym0MDvUL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31Vym0MDvUL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71afINIjJAL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/310nGGdDbKL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/310nGGdDbKL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/71+fjocBY7L._AC_SL1500_.jpg'}]",B01MS8EWXM,Fujinon GF63mmF2.8 R WR,2017,8999,0.4,富士,黑色,63,8.4x8.4x7.1,线性马达（LM）,9,True,50,0.17,定焦镜头,富士G卡口,中画幅,2.8,32.0
镜头,富士 GF 32-64mm F4 R LM WR 变焦镜头,4.6,25,"[{'thumb': 'https://m.media-amazon.com/images/I/41Vud4ZQ3ZL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Vud4ZQ3ZL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71pmokkQNFL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/5146dttcmSS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/5146dttcmSS._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71haww23h8S._AC_SL1350_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31Ut6X9c9JL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31Ut6X9c9JL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71li8YHtUDL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41WJ+BEfcsL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41WJ+BEfcsL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/81TyAFobxqL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31CL5VPVDML._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31CL5VPVDML._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71x+JTyNghL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/317ao11mVgL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/317ao11mVgL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71a6zTfTo8L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31LywNibxzL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31LywNibxzL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/716+eM2PJ0L._AC_SL1500_.jpg'}]",B01MR6Z8Z2,Fujinon GF32-64mmF4 R LM WR,2017,15999,0.88,富士,黑色,32-64,9.2x9.2x11.6,线性马达（LM）,9,True,50,0.25,变焦镜头,富士G卡口,中画幅,4.0,32.0
镜头,富士 GF 45mm F2.8 R WR 定焦镜头,5.0,17,"[{'thumb': 'https://m.media-amazon.com/images/I/51XhJgrF+3L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51XhJgrF+3L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91KiyCIiJTL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/5146dttcmSS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/5146dttcmSS._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71haww23h8S._AC_SL1350_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41II+tsnDIS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41II+tsnDIS._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/7167RCYqOyS._AC_SL1500_.jpg'}]",B0759FTQ4T,Fujinon GF45mmF2.8 R WR,2017,10999,0.49,富士,黑色,45,8.4x8.4x8.8,线性马达（LM）,9,True,45,0.14,定焦镜头,富士G卡口,中画幅,2.8,32.0
镜头,富士 GF 23mm F4 R LM WR 定焦镜头,4.6,17,"[{'thumb': 'https://m.media-amazon.com/images/I/41aK+OaeEFL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41aK+OaeEFL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81SHdj+k1UL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31Th84vOaZS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31Th84vOaZS._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/61IrE4IXgFS._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31EcEqbYknS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31EcEqbYknS._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/61HTU2t3yjS._AC_SL1500_.jpg'}]",B071R2XGWW,Fujinon GF23mmF4 R LM WR,2017,16990,0.84,富士,黑色,23,8.9x8.9x10.3,线性马达（LM）,9,True,38,0.09,定焦镜头,富士G卡口,中画幅,4.0,32.0
镜头,富士 GF 35-70mm F4.5-5.6 WR 变焦镜头,5.0,16,"[{'thumb': 'https://m.media-amazon.com/images/I/418e3AFnozL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/418e3AFnozL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71r7G4jQctL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41PQcEGkZ2L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41PQcEGkZ2L._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/712YAntPAUL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/410Te4PzgXL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/410Te4PzgXL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71RjXYsEtRL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41txpsO2MVL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41txpsO2MVL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/712YxmqPqwL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31vLQ0GygNL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31vLQ0GygNL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/6130uRPiytL._AC_SL1500_.jpg'}]",B09DTJ9R5T,Fujinon GF35-70mmF4.5-5.6 WR,2021,7999,0.44,富士,黑色,35-70,7.3x7.3x8.6,步进马达（STM）,9,True,35,0.28,变焦镜头,富士G卡口,中画幅,4.5,32.0
镜头,富士 XC 16-50mm F3.5-5.6 OIS 变焦镜头,4.1,6,"[{'thumb': 'https://m.media-amazon.com/images/I/51eR2G01JsL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51eR2G01JsL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/51Nbyqs-S4L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51Nbyqs-S4L._AC_.jpg', 'variant': 'PT01', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41QqiV-4B7L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41QqiV-4B7L._AC_.jpg', 'variant': 'PT02', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41ZxdZTsugL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41ZxdZTsugL._AC_.jpg', 'variant': 'PT03', 'hi_res': None}]",B0145MFJB8,Fujinon XC16-50mmF3.5-5.6 OIS,2013,2500,0.29,富士,黑色,16-50,6.2x6.2x6.5,步进马达（STM）,7,False,30,0.2,变焦镜头,富士X卡口,APS-C,3.5,22.0
镜头,富士 XC 15-45mm F3.5-5.6 OIS PZ 变焦镜头,4.4,67,"[{'thumb': 'https://m.media-amazon.com/images/I/51pESEV86lL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51pESEV86lL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81ntAmeL9BL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41engAAvZhL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41engAAvZhL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71UytYmD--L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51eSdLnkBZL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51eSdLnkBZL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71SnZC3lgQL._AC_SL1000_.jpg'}]",B079BRLDF7,Fujinon XC15-45mmF3.5-5.6 OIS PZ,2018,2999,0.14,富士,黑色,15-45,6.2x6.2x4.4,步进马达（STM）,7,False,13,0.24,变焦镜头,富士X卡口,APS-C,3.5,22.0
镜头,富士 XC 50-230mm F4.5-6.7 OIS II 变焦镜头,4.5,248,"[{'thumb': 'https://m.media-amazon.com/images/I/41pfntvUUcL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41pfntvUUcL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71eRxLpjJNL._AC_SL1286_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/414UQB1uMCL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/414UQB1uMCL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/61Of15LZGAL._AC_SL1235_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41S7Tc-VOxL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41S7Tc-VOxL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/51z2y1fnSpL._AC_SL1000_.jpg'}]",B08F65LK53,Fujinon XC50-230mmF4.5-6.7 OIS II,2015,2999,0.68,富士,黑色,50-230,11.1x6.9x6.9,步进马达（STM）,7,False,110,0.2,变焦镜头,富士X卡口,APS-C,4.5,22.0
镜头,佳能 RF-S18-150mm F3.5-6.3 变焦镜头,4.5,15,"[{'thumb': 'https://m.media-amazon.com/images/I/21Q6TYh1CoL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/21Q6TYh1CoL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/51MzstypTgL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/21CFjUioihL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/21CFjUioihL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/51LsJpsiDEL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/21iqdEPqLmL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/21iqdEPqLmL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/51HLcqhAiVL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/21MJLKmMfJL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/21MJLKmMfJL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/51gqvI0mCrL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/21FHtnhHzzL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/21FHtnhHzzL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/51W-ybBhRYL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/21TiuMOnS1L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/21TiuMOnS1L._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/51iThPnLPHL._AC_SL1500_.jpg'}]",B0B2KSJBR4,Canon RF-S18-150mm F3.5-6.3 Lens,2022,2999,0.41,佳能,黑色,18-150,8.4x6.9x6.9,步进马达（STM）,7,False,17,0.31,变焦镜头,佳能RF卡口,APS-C,3.5,40.0
镜头,佳能 RF50mm F1.2L USM 定焦镜头,4.7,206,"[{'thumb': 'https://m.media-amazon.com/images/I/41uEky4OepL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41uEky4OepL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71gxjKUV6JL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41PsUd5qRtL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41PsUd5qRtL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/710v3dKiBcL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41zSW4OpWML._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41zSW4OpWML._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71YKGbkhO+L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41MxZFi2MlL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41MxZFi2MlL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/71fzAprPN8L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41psfUVF2SL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41psfUVF2SL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/61GmXPswN1L._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41538vyUosL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41538vyUosL._AC_.jpg', 'variant': 'PT05', 'hi_res': None}]",B07H4G9ZKW,Canon RF50mm F1.2L USM Lens,2018,16999,0.95,佳能,黑色,50,8.9x8.9x10.8,超声波马达（USM）,10,True,40,0.19,定焦镜头,佳能RF卡口,全画幅,1.2,16.0
镜头,佳能 RF14-35mm F4 L IS USM 变焦镜头,4.7,80,"[{'thumb': 'https://m.media-amazon.com/images/I/31LycGrDGaS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31LycGrDGaS._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61d0OiOmm7S._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/311Pu6U45cS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/311Pu6U45cS._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/61nT8C174NS._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31OBaTYWQbS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31OBaTYWQbS._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/6192amdVSfS._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/319F4kLWRUS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/319F4kLWRUS._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61XUuDpI8IS._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31T4DfF-9BS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31T4DfF-9BS._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/61n7M6PSBsS._AC_SL1500_.jpg'}]",B0CGM877H2,Canon RF14-35mm F4 L IS USM Lens,2021,13999,0.54,佳能,黑色,14-35,8.4x8.4x10.0,超声波马达（USM）,9,True,20,0.38,变焦镜头,佳能RF卡口,全画幅,4.0,22.0
